0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
21   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor Z:\apache_tools\solr-4.7.1\solr\example\contexts at interval 0
26   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: Z:\apache_tools\solr-4.7.1\solr\example\contexts\solr-jetty-context.xml
1236 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3160 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /select: solr.SearchHandler
3161 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /query: solr.SearchHandler
3163 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /get: solr.RealTimeGetHandler
3163 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /browse: solr.SearchHandler
3166 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
3166 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: solr.UpdateRequestHandler
3167 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: solr.UpdateRequestHandler
3167 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
3167 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/extract: solr.extraction.ExtractingRequestHandler
3167 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
3167 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
3168 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
3168 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/document: solr.DocumentAnalysisRequestHandler
3170 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: solr.admin.AdminHandlers
3172 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
3174 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /debug/dump: solr.DumpRequestHandler
3183 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
3183 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3183 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /spell: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /suggest: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /tvrh: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.SearchHandler
3184 [coreLoadExecutor-4-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /terms: solr.SearchHandler
